,player,player_id,position,ï..season,Team,Cap.Number,Cash.Spent,snap_counts_offense,Year,experience,y1_pff,y1_touchdowns,y1_receptions,y1_yac,y1_salary,y1_snaps,y2_pff,y2_touchdowns,y2_receptions,y2_yac,y2_salary,y2_snaps,y3_pff,y3_touchdowns,y3_receptions,y3_yac,y3_salary,y3_snaps,y4_pff,y4_touchdowns,y4_receptions,y4_yac,y4_salary,y4_snaps,y5_pff,y5_touchdowns,y5_receptions,y5_yac,y5_salary,y5_snaps
899,Ace Sanders,7883,WR,2013,Jaguars,525362,886448,150,2013,1,61.9,1,51,291,886448,150,56.4,0,6,26,378529,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,Dexter McCluster,5561,WR,2010,Chiefs,880000,2560000,147,2010,1,59.3,1,21,179,2560000,147,68.9,1,46,301,1360000,98,62,1,52,216,540000,173,67.3,2,53,267,840000,124,66.9,1,26,146,NA,17
1073,Marqise Lee,8674,WR,2014,Jaguars,940731,2502924,141,2014,1,61.4,1,37,176,2502924,141,61.6,1,15,99,655183,51,71.9,3,63,351,890366,223,77.4,3,56,295,1125549,290,NA,NA,NA,NA,NA,NA
1377,Marcell Ateman,23670,WR,2018,Raiders,282353,282353,138,2018,1,53.5,1,15,34,282353,138,58.3,0,5,28,402353,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1116,Chris Conley,9509,WR,2015,Chiefs,613109,1147436,135,2015,1,60.4,1,17,70,1147436,135,61.9,0,44,158,560000,277,63.1,0,11,48,660000,114,55.8,5,32,132,1907000,248,62.7,5,47,247,2500000,236
1201,Braxton Miller,10719,WR,2016,Texans,627276,1159104,134,2016,1,50.8,1,15,52,1159104,134,55.2,1,19,71,557500,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1299,Dede Westbrook,11865,WR,2017,Jaguars,517041,1072341,134,2017,1,60.7,1,27,90,1072341,134,71.3,5,66,363,555000,222,63.5,3,66,312,645000,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1369,James Washington,47792,WR,2018,Steelers,818426,1833704,123,2018,1,49.2,1,16,55,1833704,123,69.3,3,44,202,684607,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1313,Josh Reynolds,11872,WR,2017,Rams,627006,1113024,119,2017,1,58.4,1,11,34,1113024,119,68.9,5,29,132,555000,262,65.9,1,21,143,645000,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,Jonathan Baldwin,6178,WR,2011,Chiefs,1373018,4367072,113,2011,1,58.9,1,21,42,4367072,113,61.2,1,20,112,718255,229,54.7,0,3,7,1061510,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1401,KeeSean Johnson,39587,WR,2019,Cardinals,547328,704312,113,2019,1,53.5,1,21,49,704312,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1323,Mack Hollins,11873,WR,2017,Eagles,623917,1100668,112,2017,1,63.1,1,16,51,1100668,112,NA,NA,NA,NA,NA,NA,49.5,0,10,37,151765,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
836,Keshawn Martin,7121,WR,2012,Texans,493140,802560,93,2012,1,51.5,1,10,40,802560,93,56.3,2,22,96,480000,77,56.1,0,6,57,570000,124,58.4,2,24,74,618750,165,NA,NA,NA,NA,NA,NA
1375,Keke Coutee,47698,WR,2018,Texans,662257,1209028,87,2018,1,64.7,1,28,211,1209028,87,53.1,0,22,138,570000,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,Randall Cobb,6216,WR,2011,Packers,583531,1209124,84,2011,1,65.1,1,25,193,1209124,84,82.9,8,80,476,520883,171,78.2,4,31,182,666766,109,82.7,12,91,607,812648,300,67.5,6,79,452,15100000,319
1311,Josh Malone,11883,WR,2017,Bengals,613382,1058528,84,2017,1,50.7,1,6,13,1058528,84,51,0,1,-1,555000,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1127,Devin Smith,9470,WR,2015,Jets,1067713,2965852,72,2015,1,52.3,1,9,24,2965852,72,46.2,0,1,6,701928,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7,1,5,34,645000,61
1408,Parris Campbell,47940,WR,2019,Colts,868352,1988408,68,2019,1,54.7,1,18,109,1988408,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,Eric Decker,5611,WR,2010,Broncos,503037,1052150,65,2010,1,62.2,1,6,29,1052150,65,64,8,44,190,450000,466,75.4,13,85,289,490000,420,79.5,11,87,396,1323000,375,78.3,5,74,328,10000000,336
550,Riley Cooper,5682,WR,2010,Eagles,362869,491478,63,2010,1,55.7,1,7,18,491478,63,59,1,16,54,450000,104,60.6,3,23,84,540000,152,71.3,8,47,242,630000,419,59.1,3,55,159,5000000,368
693,Jeremy Kerley,6305,WR,2011,Jets,421062,559248,63,2011,1,69.9,1,29,109,559248,63,67.5,2,56,305,465000,190,73.4,3,43,185,555000,228,61.6,1,38,153,4431000,287,63.4,2,16,100,2000000,48
1164,Phillip Dorsett,9462,WR,2015,Colts,1479166,4611664,56,2015,1,60.5,1,18,61,4611664,56,56.5,2,33,151,804791,227,56.3,0,12,69,1174582,158,67,3,32,102,1394373,158,66.9,5,29,81,2600000,167
1336,Taywan Taylor,11827,WR,2017,Titans,694003,1381012,55,2017,1,58.3,1,16,57,1381012,55,70,1,37,175,630000,177,52.5,0,0,0,773500,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
656,Cecil Shorts,6266,WR,2011,Jaguars,485845,818380,54,2011,1,46.6,1,2,4,818380,54,75.3,7,55,377,496461,198,71.8,3,66,286,617922,262,62.4,1,53,273,1431000,238,62.8,2,42,223,2921875,174
1240,Leonte Carroo,10720,WR,2016,Dolphins,625097,1150388,52,2016,1,54.2,1,3,14,1150388,52,54.9,0,7,12,560000,43,76.1,1,2,40,370588,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1389,Andy Isabella,47448,WR,2019,Cardinals,841794,1882176,50,2019,1,64.2,1,9,140,1882176,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
824,Juron Criner,7160,WR,2012,Raiders,426140,534560,37,2012,1,72.4,1,16,84,534560,37,61.9,0,3,11,480000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
838,LaVon Brazill,7191,WR,2012,Colts,409670,468680,32,2012,1,56.9,1,11,74,468680,32,61.7,2,12,54,367059,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1386,Trey Quinn,38276,WR,2018,Redskins,400915,452719,30,2018,1,57.3,1,9,20,452719,30,54.1,1,26,63,570000,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1268,Trevor Davis,10797,WR,2016,Packers,506794,677176,28,2016,1,55.5,1,3,9,677176,28,59,0,5,34,540000,25,NA,NA,NA,NA,NA,NA,49.3,0,8,69,169412,85,NA,NA,NA,NA,NA,NA
1081,Michael Campanaro,8852,WR,2014,Ravens,436875,487500,23,2014,1,81.8,1,7,35,487500,23,69.6,0,5,27,374647,17,60.6,0,0,0,105882,5,60.7,1,19,82,1200000,72,NA,NA,NA,NA,NA,NA
221,Dezmon Briscoe,5714,WR,2010,Redskins,320000,320000,17,2010,1,76.4,1,6,40,320000,17,61.3,6,35,102,450000,80,62.5,0,2,13,540000,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,Robert Herron,8820,WR,2014,Buccaneers,448000,532000,16,2014,1,46.7,1,6,26,532000,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1186,Tre McBride,9678,WR,2015,Titans,179118,179118,14,2015,1,52,1,2,1,179118,14,NA,NA,NA,NA,NA,NA,63.9,0,8,50,44400,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,Kyle Williams,5729,WR,2010,49ers,339837,399350,NA,2010,1,55.6,0,1,3,399350,NA,75.2,3,20,102,450000,113,60.3,1,14,76,540000,88,52.9,0,12,57,259412,119,NA,NA,NA,NA,NA,NA
393,Kyle Williams,5729,WR,2010,49ers,339837,399350,NA,2010,1,55.6,0,1,3,399350,NA,75.2,3,20,102,450000,113,60.3,1,14,76,540000,88,52.9,0,12,57,259412,119,NA,NA,NA,NA,NA,NA
1199,Vince Mayle,9556,WR,2015,Cowboys,25588,25588,NA,2015,1,53.8,0,0,0,25588,NA,NA,NA,NA,NA,NA,NA,55.3,0,0,0,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402,Kelvin Harmon,47931,WR,2019,Redskins,526960,622840,172,2019,1,63.9,0,30,98,622840,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291,Corey Davis,11760,WR,2017,Titans,4617227,17073908,166,2017,1,60.1,0,34,117,17073908,166,76.4,4,65,274,1619307,350,69.9,2,43,215,2773614,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,Cody Core,10833,WR,2016,Bengals,481983,577932,123,2016,1,60.7,0,17,118,577932,123,49,0,0,0,540000,21,53.9,1,13,32,630000,100,57.2,0,3,2,720000,23,NA,NA,NA,NA,NA,NA
1280,ArDarius Stewart,11834,WR,2017,Jets,676581,1311324,113,2017,1,57,0,6,18,1311324,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1326,Noah Brown,11993,WR,2017,Cowboys,482988,536952,113,2017,1,69.9,0,4,22,536952,113,74,0,5,21,461294,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1150,Justin Hardy,9540,WR,2015,Falcons,570205,975820,99,2015,1,63.5,0,21,65,975820,99,75.5,4,21,51,525000,96,61.8,3,20,77,615000,171,60.5,2,14,74,705000,100,67.3,0,19,81,895000,80
652,Austin Pettis,6230,WR,2011,Rams,519569,953276,98,2011,1,60.3,0,27,96,953276,98,69.1,4,30,88,490000,91,66.7,4,38,118,580000,184,63.1,1,12,52,NA,22,NA,NA,NA,NA,NA,NA
1281,Chad Hansen,11896,WR,2017,Jets,569912,884648,98,2017,1,53.7,0,9,17,884648,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1259,Ricardo Louis,10748,WR,2016,Browns,591960,1017848,95,2016,1,57.9,0,18,93,1017848,95,53.1,0,27,83,540000,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,Josh Huff,8721,WR,2014,Eagles,558986,975944,94,2014,1,58.3,0,8,80,975944,94,64.2,3,27,186,525000,197,63.6,1,16,123,144706,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
