"","player","player_id","position","player_game_count","team_name","targets","receptions","caught_percent","yards","touchdowns","grades_offense","grades_pass_route","grades_hands_drop","grades_hands_fumble","grades_pass_block","yards_per_reception","yards_after_catch","yards_after_catch_per_reception","longest","first_downs","drops","interceptions","fumbles","avoided_tackles","targeted_qb_rating","penalties","declined_penalties","season","ï..season","Team","Cap.Number","Cash.Spent","snap_counts_offense","Year","experience"
"1210","Chris Moore",10741,"WR",12,"BLT",34,18,52.9,248,3,59,59.2,43.5,79.9,NA,13.8,38,2.1,30,11,3,2,0,2,81.5,0,0,"2017",2017,"Ravens",689090,540000,128,2016,"2"
"1211","Chris Moore",10741,"WR",8,"BLT",5,3,60,21,0,53.4,52.6,72.1,72.9,NA,7,11,3.7,13,0,0,0,0,0,69.6,0,0,"2019",2019,"Ravens",869090,720000,84,2016,"4"
"1212","Chris Moore",10741,"WR",11,"BLT",16,7,43.8,46,0,50.3,52.8,35.3,24.7,NA,6.6,17,2.4,13,2,2,0,0,1,51,0,0,"2016",2016,"Ravens",599090,1046360,57,2016,"1"
"1213","Chris Moore",10741,"WR",16,"BLT",25,19,76,196,1,60,59.6,83.6,82.9,NA,10.3,71,3.7,30,8,0,0,0,1,111.4,1,0,"2018",2018,"Ravens",779090,630000,246,2016,"3"
"1214","Cobi Hamilton",7978,"WR",11,"PIT",28,17,60.7,234,2,62.6,62.3,82.2,76.3,NA,13.8,24,1.4,39,13,0,0,0,1,111.3,1,0,"2016",2016,"Steelers",317647,317647,126,2013,"4"
"1215","Cobi Hamilton",7978,"WR",2,"HST",6,1,16.7,8,0,56.5,56.4,64.7,61.2,NA,8,3,3,8,1,0,1,0,0,0,0,0,"2017",2017,"Texans",190588,190588,25,2013,"5"
"1216","Cody Core",10833,"WR",14,"CIN",28,13,46.4,160,1,53.9,54.4,36,72.7,NA,12.3,32,2.5,30,7,3,1,0,1,61.6,0,0,"2018",2018,"Bengals",661983,630000,100,2016,"3"
"1217","Cody Core",10833,"WR",7,"CIN",4,0,0,0,0,49,49.3,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,39.6,0,0,"2017",2017,"Bengals",571983,540000,21,2016,"2"
"1218","Cody Core",10833,"WR",8,"CIN",26,17,65.4,200,0,60.7,60.3,68,73.6,NA,11.8,118,6.9,50,7,1,0,0,1,88.6,0,0,"2016",2016,"Bengals",481983,577932,123,2016,"1"
"1219","Cody Core",10833,"WR",9,"NYG",3,3,100,28,0,57.2,60.1,70.5,65.8,NA,9.3,2,0.7,11,2,0,0,0,0,105.6,1,0,"2019",2019,"Giants",720000,720000,23,2016,"4"
"1220","Corey Coleman",10649,"WR",8,"NYG",8,5,62.5,71,0,60,60,45.8,81.7,NA,14.2,10,2,30,5,1,0,0,0,91.1,0,0,"2018",2018,"Giants",370588,370588,56,2016,"3"
"1221","Corey Coleman",10649,"WR",9,"CLV",50,23,46,305,2,60.3,61.8,37.7,75.5,61.6,13.3,27,1.2,44,16,4,3,0,2,54.2,5,0,"2017",2017,"Browns",2648860,979772,138,2016,"2"
"1222","Corey Coleman",10649,"WR",10,"CLV",62,33,53.2,413,3,61.7,61.9,51.9,77.5,NA,12.5,100,3,58,17,4,3,0,8,70.2,3,0,"2016",2016,"Browns",2119088,7126352,155,2016,"1"
"1223","Daniel Braverman",10864,"WR",3,"CHI",2,0,0,0,0,74.5,73.1,64.7,61.2,NA,NA,0,NA,0,0,0,1,0,0,0,0,0,"2016",2016,"Bears",132353,132353,6,2016,"1"
"1224","DeAndre Smelter",9565,"WR",2,"SF",1,1,100,23,0,65.8,64.8,68.3,64,NA,23,10,10,23,1,0,0,0,0,118.8,0,0,"2016",2016,"49ers",52941,52941,26,2015,"2"
"1225","Jakeem Grant",10820,"WR",12,"MIA",21,13,61.9,203,2,70.7,74.2,47.7,87.2,NA,15.6,150,11.5,65,9,2,0,0,7,125.7,1,0,"2017",2017,"Dolphins",575095,540000,37,2016,"2"
"1226","Jakeem Grant",10820,"WR",10,"MIA",31,21,67.7,268,2,70.5,71,71.3,84.9,NA,12.8,142,6.8,52,13,1,1,0,2,102.6,3,1,"2018",2018,"Dolphins",665095,630000,106,2016,"3"
"1227","Jakeem Grant",10820,"WR",2,"MIA",1,0,0,0,0,40.2,39.3,27.9,86,NA,NA,0,NA,0,0,1,0,0,0,39.6,0,0,"2016",2016,"Dolphins",485095,590380,15,2016,"1"
"1228","Jakeem Grant",10820,"WR",10,"MIA",33,19,57.6,164,0,62.1,64.4,59.2,84.1,NA,8.6,93,4.9,18,9,2,2,0,1,45.5,2,1,"2019",2019,"Dolphins",1355095,3720000,54,2016,"4"
"1229","Jordan Payton",10788,"WR",4,"CLV",2,1,50,3,0,53.4,53.4,64.7,61.2,NA,3,0,0,3,0,0,0,0,0,56.3,0,0,"2016",2016,"Browns",405118,588118,9,2016,"1"
"1230","Josh Doctson",10656,"WR",15,"WAS",75,44,58.7,532,2,63.3,63.2,69.8,78.9,NA,12.1,127,2.9,32,31,3,5,0,5,61.6,3,0,"2018",2018,"Redskins",2740812,1363604,298,2016,"3"
"1231","Josh Doctson",10656,"WR",16,"WAS",72,35,48.6,502,6,62.5,62.5,62.1,77.5,60.5,14.3,131,3.7,52,25,3,2,0,3,87.8,2,0,"2017",2017,"Redskins",2284010,906802,282,2016,"2"
"1232","Josh Doctson",10656,"WR",2,"WAS",6,2,33.3,66,0,57.7,57.8,68.3,64,NA,33,14,7,57,1,0,0,0,0,75.7,0,0,"2016",2016,"Redskins",1827208,5958832,6,2016,"1"
"1233","Kevin White",9440,"WR",4,"CHI",34,19,55.9,187,0,66,66,70.7,74.8,NA,9.8,58,3.1,32,8,1,1,0,1,59.3,1,0,"2016",2016,"Bears",3764329,1187866,53,2015,"2"
"1234","Kevin White",9440,"WR",1,"CHI",4,2,50,6,0,55.9,53.2,68.3,64,NA,3,2,1,6,0,1,0,0,1,56.3,0,0,"2017",2017,"Bears",4517195,1940732,20,2015,"3"
"1235","Kevin White",9440,"WR",9,"CHI",8,4,50,92,0,62,63.9,73.4,68,NA,23,4,1,54,3,0,0,0,0,91.7,2,1,"2018",2018,"Bears",5270061,2693598,92,2015,"4"
"1236","Laquon Treadwell",10657,"WR",13,"MIN",16,9,56.3,184,1,71.3,74.9,77.3,70.6,NA,20.4,58,6.4,58,8,0,1,0,1,91.7,3,0,"2019",2019,"Vikings",592941,592941,86,2016,"4"
"1237","Laquon Treadwell",10657,"WR",16,"MIN",33,20,60.6,200,0,53.9,54.5,70.5,24.5,NA,10,59,3,25,11,1,2,1,0,52.6,4,0,"2017",2017,"Vikings",2257950,901590,176,2016,"2"
"1238","Laquon Treadwell",10657,"WR",7,"MIN",3,1,33.3,15,0,56.4,52.8,64.7,65.3,NA,15,0,0,15,1,0,0,0,0,50.7,0,0,"2016",2016,"Vikings",1806360,5875440,30,2016,"1"
"1239","Laquon Treadwell",10657,"WR",15,"MIN",47,35,74.5,302,1,51.3,52.1,45.1,77.3,NA,8.6,118,3.4,22,16,5,2,0,4,80.3,1,0,"2018",2018,"Vikings",2709540,1353180,157,2016,"3"
"1240","Leonte Carroo",10720,"WR",7,"MIA",6,3,50,29,1,54.2,55.4,70.5,65.8,NA,9.7,14,4.7,15,2,0,1,0,0,63.9,1,1,"2016",2016,"Dolphins",625097,1150388,52,2016,"1"
"1241","Leonte Carroo",10720,"WR",8,"MIA",12,7,58.3,69,0,54.9,55.5,52.5,69.5,NA,9.9,12,1.7,21,4,1,2,0,0,35.1,2,0,"2017",2017,"Dolphins",735097,560000,43,2016,"2"
"1242","Leonte Carroo",10720,"WR",3,"MIA",4,2,50,94,1,76.1,74,68.3,66.2,NA,47,40,20,74,2,0,0,0,0,135.4,0,0,"2018",2018,"Dolphins",370588,370588,15,2016,"3"
"1243","Malcolm Mitchell",10746,"WR",14,"NE",45,32,71.1,401,4,67.9,66.7,60.7,77,NA,12.5,162,5.1,56,22,4,1,0,6,118.8,3,0,"2016",2016,"Patriots",594498,1027992,209,2016,"1"
"1244","Michael Thomas",10681,"WR",15,"NO",119,92,77.3,1137,9,86.4,86.3,83.6,29.7,NA,12.4,478,5.2,46,62,4,4,2,20,117.5,2,0,"2016",2016,"Saints",930722,2372888,281,2016,"1"
"1245","Michael Thomas",10681,"WR",16,"NO",180,149,82.8,1725,9,90.4,90.7,90,66.9,NA,11.6,588,3.9,49,92,6,0,1,12,123.3,7,1,"2019",2019,"Saints",6128765,21648043,302,2016,"4"
"1246","Michael Thomas",10681,"WR",16,"NO",139,104,74.8,1245,5,90.6,90.9,90.8,83.8,NA,12,449,4.3,43,70,2,3,0,13,104.8,4,1,"2017",2017,"Saints",1163403,682681,307,2016,"2"
"1247","Michael Thomas",10681,"WR",16,"NO",146,125,85.6,1405,9,91.3,91.6,90.9,42,64.9,11.2,503,4,72,75,3,1,2,17,124.5,6,2,"2018",2018,"Saints",1396084,915362,367,2016,"3"
