Player,Played all four?,PFF1,PFF2,PFF3,PFF4
TAVON AUSTIN,1,70,59.9,69.6,61.3
TAYWAN TAYLOR,0,58.3,70,0,0
TERRANCE WILLIAMS,1,66.2,66.2,69.9,71.7
TITUS YOUNG,0,62.7,58.6,0,0
TONEY CLEMONS,0,53,0,0,0
TORREY SMITH,1,68.6,74.6,70.5,72.1
TRAVIS BENJAMIN,1,65.8,59.1,68.8,67
TRE'QUAN SMITH,0,68.7,0,0,0
TRENT TAYLOR,0,68.4,56.2,0,0
TREY QUINN,0,57.3,0,0,0
TY MONTGOMERY,0,56.8,0,0,0
TYLER BOYD,0,65.1,62,84.5,0
TYLER LOCKETT,1,76,68.9,67.3,80.3
VINCE MAYLE,0,0,43.9,0,0
VINCENT BROWN,1,69.5,0,64.9,61.1
ZAY JONES,0,55.2,62.2,0,0
