player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Nolan Carroll,5668,CB,14,MIA,641,5,196,440,61.6,63.3,72.7,93.0,57.8,2,1,0,1,0,46,4,4,10,1,72,41,497,12.1,103,36,2,0,6,87.6,6,0
Cam Thomas,5669,DI,16,SD,395,208,186,1,65.1,58.6,67.3,67.2,60.0,23,0,5,18,0,19,4,3,12,0,0,0,0,,0,,0,0,0,0.0,0,0
Robert Johnson,5671,S,12,TEN,279,0,102,177,53.7,59.8,30.0,,53.1,0,0,0,0,0,7,3,5,0,0,6,3,82,27.3,38,55,1,1,0,95.8,0,0
Hall Davis,5672,ED,2,CLV,22,11,10,1,57.3,55.8,,59.5,60.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Austen Lane,5676,ED,11,JAX,372,162,206,4,77.9,74.2,77.9,71.1,49.5,18,2,6,10,0,24,5,0,19,1,2,1,10,10.0,7,10,0,0,0,64.6,0,0
Arthur Jones,5680,DI,16,BLT,529,248,281,0,64.5,59.3,72.2,66.9,60.0,28,5,9,14,0,21,11,1,20,1,0,0,0,,0,,0,0,0,0.0,1,1
Reshad Jones,5686,S,16,MIA,1117,71,412,634,91.0,87.2,71.9,64.2,91.0,13,1,4,8,0,74,11,14,21,2,39,19,247,13.0,132,66,1,4,4,38.0,1,0
Crezdon Butler,5687,CB,3,BUF,19,0,3,16,35.8,60.0,72.5,,43.9,0,0,0,0,0,1,0,0,0,0,2,2,23,11.5,-2,18,0,0,0,114.6,1,0
Stevenson Sylvester,5689,LB,1,PIT,1,0,1,0,60.9,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Greg Hardy,5698,ED,15,CAR,747,462,275,10,79.1,70.1,43.5,80.9,64.8,59,13,12,34,1,35,11,7,38,2,2,1,3,3.0,2,3,0,0,0,56.3,6,0
Arthur Moats,5701,LB,9,BUF,121,12,59,50,64.2,73.6,70.2,59.3,50.4,1,0,0,1,0,14,2,1,8,0,6,3,42,14.0,23,24,0,0,0,72.9,0,0
Adrian Tracy,5707,ED,8,NYG,68,32,31,5,66.5,73.5,73.8,59.3,50.2,3,1,0,2,0,4,1,0,4,0,1,1,17,17.0,15,17,0,0,0,118.8,0,0
Clifton Geathers,5709,DI,8,IND,141,67,74,0,46.9,45.3,70.5,54.5,60.0,2,1,0,1,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Eugene Sims,5712,ED,13,SL,399,245,148,6,58.0,62.9,39.7,58.5,59.6,11,3,4,4,1,16,3,3,16,0,1,1,3,3.0,9,3,0,1,0,39.6,4,0
Travis Goethel,5713,LB,2,OAK,13,0,12,1,69.2,65.7,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Jordan Pugh,5725,S,12,WAS,271,20,46,205,55.8,46.1,28.8,45.4,60.9,3,1,0,2,0,8,1,6,2,0,8,5,55,11.0,22,18,0,0,1,82.8,0,0
Cody Grimm,5733,S,1,TB,4,0,1,3,60.2,60.0,,,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Willie Young,5736,ED,16,DET,323,211,110,2,54.4,59.0,74.1,59.6,60.2,16,0,4,12,1,9,2,0,8,0,0,0,0,,0,,0,0,0,0.0,3,1
Dekoda Watson,5740,LB,15,TB,126,73,10,43,52.0,73.6,74.2,55.4,45.6,4,0,1,3,1,2,1,0,1,0,2,1,20,20.0,2,20,1,0,0,125.0,0,0
Jamar Chaney,5743,LB,7,PHI,231,12,141,78,43.0,47.6,56.6,52.3,44.4,0,0,0,0,0,14,6,4,9,0,11,7,91,13.0,65,21,2,0,1,129.2,0,0
R.J. Stanford,5746,CB,11,MIA,144,3,63,78,47.2,71.2,56.7,48.9,41.7,0,0,0,0,0,12,5,3,3,0,16,14,177,12.6,55,32,0,0,0,112.8,0,0
Phillip Adams,5747,CB,11,OAK,175,1,75,99,88.5,64.4,65.4,59.5,90.7,0,0,0,0,0,11,0,1,4,0,15,9,87,9.7,30,19,0,2,2,36.7,1,0
George Selvie,5749,ED,9,JAX,237,102,132,3,67.8,70.2,63.5,60.1,59.6,7,1,4,2,0,12,4,2,12,0,0,0,0,,0,,0,0,0,0.0,1,0
C.J. Wilson,5753,DI,11,GB,273,132,141,0,69.4,76.5,61.1,55.5,57.8,7,3,0,4,1,17,1,1,12,0,0,0,0,,0,,0,0,0,0.0,0,0
Sean Lissemore,5757,DI,10,DAL,317,160,157,0,53.0,54.3,78.3,55.1,60.0,7,1,1,5,0,18,9,0,12,0,0,0,0,,0,,0,0,0,0.0,1,0
Ricardo Mathews,5761,DI,16,IND,478,240,235,3,55.7,58.8,60.8,53.5,59.5,8,0,0,8,1,11,4,1,8,0,0,0,0,,0,,0,0,0,0.0,1,0
Kavell Conner,5763,LB,13,IND,324,17,197,110,72.8,76.1,65.6,76.4,54.1,4,1,1,2,0,49,6,8,35,0,18,10,160,16.0,93,36,1,0,3,103.9,0,0
Doug Worthington,5765,ED,6,WAS,38,20,18,0,35.3,31.8,69.2,56.8,,0,0,0,0,1,1,1,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0
Kurt Coleman,5767,S,14,PHI,880,14,379,487,46.1,61.8,49.8,38.3,40.0,1,0,0,1,0,72,12,15,19,1,27,17,294,17.3,131,37,2,2,2,93.8,0,0
Brandon Deaderick,5769,DI,14,NE,374,200,174,0,54.9,57.5,75.4,52.2,60.0,7,1,0,6,1,10,3,0,7,2,0,0,0,,0,,0,0,0,0.0,0,0
Robert McClain,5771,CB,14,ATL,603,18,192,393,83.4,63.5,63.6,63.0,84.7,3,0,1,2,0,56,3,7,17,0,67,43,335,7.8,156,18,0,1,8,70.2,0,0
Stevie Brown,5773,S,14,NYG,829,10,338,481,75.8,66.3,49.2,67.6,77.1,2,0,1,1,0,54,6,10,10,1,26,17,259,15.2,54,62,1,8,3,71.3,0,0
Austin Spitler,5774,LB,2,MIA,10,0,9,1,71.0,65.1,76.1,,61.9,0,0,0,0,0,2,0,0,1,0,1,1,8,8.0,6,8,0,0,0,100.0,0,0
Josh Hull,5776,LB,9,SL,42,11,14,17,58.3,65.6,76.4,58.8,52.8,2,0,0,2,0,3,0,0,1,0,3,3,30,10.0,19,19,1,0,0,147.9,0,0
Rafael Bush,5779,S,6,NO,122,4,15,103,91.1,92.8,88.6,51.6,83.6,1,0,0,1,0,9,3,0,2,1,4,1,16,16.0,6,16,0,1,0,4.2,0,0
Emmanuel Stephens,5786,ED,8,CLV,146,75,64,7,72.1,52.1,73.8,82.3,61.2,9,1,0,8,0,6,1,0,3,1,0,0,0,,0,,0,0,0,0.0,0,0
Anderson Russell,5793,S,1,CAR,1,0,0,1,60.6,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Sergio Brown,5803,S,8,IND,34,1,8,25,36.6,60.6,73.0,60.0,38.8,0,0,0,0,0,1,0,0,0,0,6,4,125,31.3,71,80,2,0,0,149.3,0,0
Kyle Love,5806,DI,16,NE,543,284,259,0,67.2,68.4,69.7,57.3,62.8,17,2,1,14,0,26,2,2,20,0,0,0,0,,0,,0,0,0,0.0,0,0
Jeromy Miles,5810,S,9,CIN,121,6,46,69,48.2,38.6,62.5,79.2,52.7,2,0,1,1,0,12,2,2,3,0,2,2,43,21.5,7,24,1,0,0,158.3,0,0
Vincent Rey,5811,LB,11,CIN,109,5,34,70,51.3,53.3,83.2,66.9,50.7,1,1,0,0,0,9,1,0,5,0,10,9,106,11.8,83,19,0,0,0,110.8,0,0
Jermelle Cudjo,5814,DI,15,SL,341,164,172,5,55.0,58.2,63.5,54.6,57.0,4,1,0,3,0,14,2,2,12,0,0,0,0,,0,,0,0,0,0.0,1,0
Darian Stewart,5820,S,5,SL,81,1,18,62,66.9,55.5,69.2,57.3,70.8,0,0,0,0,0,6,0,1,0,0,4,1,14,14.0,0,14,0,0,1,41.7,1,0
Nate Collins,5825,DI,9,CHI,241,117,124,0,69.5,62.3,73.1,70.5,60.0,10,0,1,9,1,9,2,0,7,0,0,0,0,,0,,0,0,0,0.0,0,0
Justin Cole,5831,LB,9,SL,18,6,6,6,40.5,34.3,73.3,53.3,66.0,0,0,0,0,0,1,0,0,0,0,1,1,11,11.0,13,11,0,0,0,112.5,0,0
Cassius Vaughn,5845,CB,14,IND,817,0,310,507,50.2,49.7,76.9,,50.9,0,0,0,0,0,66,2,5,14,0,106,66,794,12.0,290,57,5,1,7,97.0,9,1
Aaron Berry,5871,CB,1,NYJ,2,1,0,1,59.4,,,60.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Rob Callaway,5872,DI,2,DAL,16,10,6,0,30.8,50.1,,55.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0
A.J. Jefferson,5881,CB,13,MIN,582,2,198,382,58.3,78.9,72.1,52.7,55.5,0,0,0,0,0,36,1,3,5,0,48,32,447,14.0,102,39,4,0,3,124.2,6,1
Marshay Green,5884,CB,1,IND,16,0,0,16,60.6,,77.3,,60.4,0,0,0,0,0,3,0,0,1,0,4,3,25,8.3,7,10,0,0,0,90.6,0,0
Jonathon Amaya,5886,S,1,MIA,4,0,4,0,60.0,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Jimmy Saddler-McQueen,5898,DI,1,DET,1,1,0,0,60.0,,,60.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Tramaine Brock Sr.,5903,CB,4,SF,21,0,7,14,57.2,60.8,29.6,,56.1,0,0,0,0,0,2,0,1,2,0,5,4,61,15.3,40,53,0,0,1,117.5,0,0
Chris Maragos,5906,S,3,SEA,32,1,8,23,66.8,60.6,77.7,59.2,65.6,0,0,0,0,0,3,0,0,1,0,2,2,10,5.0,0,6,0,0,0,87.5,0,0
Andre Neblett,5915,DI,11,CAR,245,151,94,0,41.9,42.8,33.6,57.3,60.0,5,1,0,4,0,5,1,1,4,0,0,0,0,,0,,0,0,0,0.0,2,0
Barry Church,5924,S,3,DAL,103,3,44,56,54.2,74.6,62.0,50.0,49.3,0,0,0,0,0,5,1,1,1,0,7,3,30,10.0,9,12,1,0,0,95.2,1,1
Bryan McCann,5928,CB,7,MIA,141,3,56,82,68.3,74.2,82.9,65.2,65.2,1,1,0,0,0,9,1,0,3,0,19,10,119,11.9,30,41,0,0,1,72.0,0,0
Danny McCray,5929,S,15,DAL,638,7,268,363,54.2,58.4,54.6,57.8,52.6,1,0,0,1,0,45,14,12,13,0,42,30,513,17.1,179,68,2,1,3,118.5,0,0
Kellen Heard,5936,DI,11,IND,179,82,96,1,52.6,63.6,71.7,58.3,59.7,3,0,0,3,0,6,0,0,5,0,0,0,0,,0,,0,0,0,0.0,4,1
Sam Shields,5943,CB,10,GB,586,8,209,369,80.4,68.1,36.0,56.8,81.8,1,1,0,0,0,24,3,4,7,0,44,21,355,16.9,113,80,3,3,7,69.8,5,0
Frank Zombo,5945,ED,7,GB,115,58,45,12,47.7,42.8,76.8,49.3,74.8,1,0,0,1,0,5,1,0,1,0,1,1,5,5.0,4,5,0,0,0,87.5,0,0
Jeff Byers,5976,G,1,CAR,2,1,1,0,60.3,60.0,,60.0,,,,,,,,,,,,,,,,,,,,,,3,0
Kyle Bosworth,5986,LB,12,JAX,250,6,148,96,54.7,64.5,64.9,63.8,42.3,1,0,1,0,0,21,7,5,11,0,19,16,124,7.8,76,15,1,1,0,89.5,0,0
Jacob Cutrera,5988,LB,1,TB,1,0,0,1,62.4,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Josh Gordy,5990,CB,8,IND,210,6,39,165,62.4,63.7,75.4,80.0,59.6,2,1,0,1,0,13,1,1,4,0,25,19,209,11.0,94,26,1,0,0,113.6,1,0
Aaron Morgan,5995,ED,9,TB,124,89,29,6,60.9,71.5,68.1,54.7,59.1,6,0,1,5,0,1,0,1,1,0,1,1,15,15.0,4,15,0,0,0,118.8,0,0
Jay Ross,6008,DI,1,BUF,8,5,3,0,59.5,61.1,68.7,55.6,60.0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Marcus Sherels,6017,CB,7,MIN,74,5,5,64,29.1,60.4,48.5,62.4,28.7,2,0,0,2,0,5,0,1,1,0,15,13,205,15.8,140,73,0,0,0,118.8,0,0
Junior Galette,6018,ED,12,NO,298,225,67,6,73.1,61.4,76.3,71.3,63.2,30,5,6,19,0,13,1,0,13,1,0,0,0,,0,,0,0,0,0.0,1,0
Albert McClellan,6022,ED,14,BLT,427,58,225,144,72.8,72.9,66.1,67.3,64.0,7,1,0,6,0,33,2,3,22,0,15,11,95,8.6,47,24,0,0,2,89.6,0,0
Mitch Unrein,6031,DI,16,DEN,386,234,152,0,60.5,63.8,76.2,52.8,61.6,11,0,3,8,0,12,5,0,11,0,0,0,0,,0,,0,0,0,0.0,1,0
Martin Tevaseu,6055,DI,13,IND,220,91,128,1,60.3,62.8,76.1,52.3,60.0,1,0,0,1,0,12,1,0,6,0,0,0,0,,0,,0,0,0,0.0,0,0
Brian Sanford,6056,ED,1,CLV,15,8,7,0,55.7,58.9,,54.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Cory Greenwood,6062,LB,4,KC,51,1,25,25,47.2,57.9,78.3,59.3,47.1,0,0,0,0,0,4,1,0,1,0,3,3,29,9.7,17,16,0,0,0,106.9,0,0
Josh Price-Brent,6072,DI,12,DAL,309,142,167,0,73.3,72.2,78.9,70.1,,9,2,3,4,0,15,8,0,13,1,1,0,0,,0,,0,0,0,39.6,2,0
Teddy Williams,6073,CB,1,IND,1,0,0,1,60.7,,,,60.0,,,,,,,,,,,,,,,,,,,,,0,0
George Johnson,6112,ED,6,MIN,116,61,46,9,52.3,59.6,71.6,47.7,59.6,0,0,0,0,0,4,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Andrew Sendejo,6118,S,2,MIN,3,0,3,0,60.0,60.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Isaiah Trufant,6120,CB,5,NYJ,118,10,44,64,56.7,48.1,85.5,62.5,58.8,2,0,1,1,0,9,0,0,4,0,12,8,68,8.5,56,21,1,0,1,109.0,0,0
Carl Ihenacho,6147,LB,2,OAK,18,6,10,2,61.1,63.2,76.0,54.6,60.8,0,0,0,0,0,2,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0
Von Miller,6154,ED,16,DEN,962,470,347,145,93.4,92.9,85.2,93.1,58.7,86,19,15,52,0,43,3,3,51,6,24,19,166,8.7,131,22,1,1,1,92.0,9,0
Marcell Dareus,6155,DI,16,BUF,787,457,328,2,65.0,51.4,68.0,72.5,62.8,32,7,3,22,6,30,7,1,26,0,0,0,0,,0,,0,0,0,0.0,1,0
Patrick Peterson,6157,CB,16,ARZ,1042,5,469,568,79.2,77.9,57.8,42.1,77.8,0,0,0,0,0,54,5,9,15,0,96,49,671,13.7,213,49,6,7,7,64.2,4,1
Julio Jones,6158,WR,1,ATL,1,0,0,1,60.0,,,,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,4,0
Aldon Smith,6159,ED,16,SF,1003,538,372,93,82.3,74.9,90.2,84.7,60.6,70,20,13,37,0,41,7,3,48,3,12,10,66,6.6,44,27,1,1,0,82.6,8,0
J.J. Watt,6163,DI,16,HST,937,611,310,16,92.7,91.9,73.8,90.8,65.0,76,21,25,30,15,57,9,2,72,4,0,0,0,,0,,0,0,0,0.0,5,1
Nick Fairley,6165,DI,13,DET,494,302,192,0,75.5,75.8,63.5,82.4,66.5,34,5,8,21,1,22,2,3,23,2,0,0,0,,0,,0,0,0,0.0,10,0
Robert Quinn,6166,ED,16,SL,824,542,282,0,59.3,56.1,79.1,64.8,60.4,45,11,8,26,1,17,3,2,22,1,0,0,0,,0,,0,0,0,0.0,7,1
