player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Ramon Foster,5229,G,15,PIT,842,0,522,320,0,855,0,0,0,74.2,87.5,65.1,2,2,12,16,2,0
Isaac Redman,5233,HB,3,PIT,16,0,13,3,0,0,0,0,0,49.4,77.4,58.8,1,0,0,1,0,0
Dallas Reynolds,5241,C,3,NYG,102,0,59,43,0,45,5,53,0,59.3,15.7,74.3,0,2,6,8,0,0
Brian Hoyer,5277,QB,3,CLV,148,105,0,43,0,0,0,0,0,73.6,,60.3,1,0,0,1,1,0
Josh Vaughan,5289,HB,1,ATL,1,0,0,1,0,0,0,0,0,59.2,,60.0,0,0,0,0,0,0
Kevin Brock,5328,TE,4,KC,53,0,10,43,0,0,0,0,0,53.0,53.8,52.3,0,0,1,1,0,0
Garry Williams,5341,G,1,CAR,15,0,9,6,0,0,0,15,0,70.7,81.1,65.4,0,0,0,0,0,0
Reggie Walker,5351,LB,2,SD,2,0,0,2,0,0,0,0,0,60.0,,58.9,0,0,0,0,0,0
Kory Sperry,5369,TE,7,ARZ,42,0,11,31,0,0,0,0,0,57.9,49.1,54.8,0,2,0,2,0,0
Alex Boone,5372,G,16,SF,991,0,529,462,63,0,0,958,0,66.8,70.8,66.2,2,3,22,27,7,2
Kevin Ogletree,5387,WR,16,DET,154,0,0,154,0,0,0,0,0,63.4,,57.0,0,0,0,0,1,0
Evan Smith,5390,C,16,GB,1055,0,636,419,0,0,1073,0,0,82.9,84.6,79.1,5,1,8,14,3,0
Arian Foster,5398,HB,8,HST,35,0,34,1,0,0,0,0,0,73.6,75.3,60.0,0,0,3,3,0,0
Demar Dotson,5410,T,16,TB,1038,0,616,422,0,0,0,0,1066,80.8,81.6,74.6,5,2,27,34,4,0
